4r3/pp4kp/2p2pp1/8/8/1P1q4/P5PP/5Q1K w - - 0 33,f1d3 e8e1 d3f1 e1f1,597,backRankMate endgame mate mateIn2 queenRookEndgame short
5rk1/5p1p/5Rp1/1p1b4/8/P2Br1QP/1PPq2P1/5R1K w - - 3 29,g3f2 e3h3 h1g1 d2g5,2280,clearance crushing middlegame pin short
r2r2k1/1p3p1p/6p1/qN2Q3/p7/P6P/BPP3P1/2K2R2 w - - 3 25,e5e7 a5d2 c1b1 d2d1 f1d1 d8d1,1408,backRankMate long mate mateIn3 middlegame sacrifice
2kr3r/1p1n1p2/1Pp2q2/p3p2p/PbQ1P1p1/2P1BB2/5PPP/R4RK1 w - - 0 22,f3g4 h5g4,992,advantage hangingPiece middlegame oneMove
4r3/p3q1k1/4Brp1/1p5p/2pP1P1P/2P3P1/PP2Q1K1/4R3 w - - 1 35,e6c4 e7b7 e2f3 b7f3 g2f3 e8e1,1768,crushing endgame long
q4r2/1b2QN1k/6p1/3P4/2P1p3/6PP/8/7K b - - 0 38,a8e8 f7g5 h7h6 e7h7 h6g5 h7h4 g5f5 h4f4,1796,doubleCheck endgame fork mate mateIn4 sacrifice veryLong
8/pk3p2/6p1/6K1/6P1/1P2nP2/7P/8 b - - 0 39,f7f5 h2h4 f5g4 f3g4 b7c6 h4h5 g6h5 g4h5,2435,crushing endgame knightEndgame quietMove veryLong
6k1/5p2/3Q3p/3qP1p1/1p4P1/7P/2P5/1K6 b - - 1 41,d5d6 e5d6 g8f8 b1b2 f8e8 b2b3 f7f5 g4f5 h6h5 b3c4 g5g4 h3g4 h5h4 g4g5 h4h3 g5g6 h3h2 g6g7,2444,advancedPawn crushing endgame quietMove veryLong
8/p6p/1pq1k3/6B1/7P/P4RK1/5P2/8 b - - 12 41,a7a5 f3f6 e6d5 f6c6,814,crushing endgame short skewer
8/n4k2/B1b1p1pp/4Pp2/1P1K1P1P/6P1/8/8 b - - 1 40,a7b5 d4c5 b5c7 c5c6 c7a6 b4b5,1954,crushing defensiveMove endgame long
8/1b3p2/3R4/6k1/1pr1pNP1/4P1K1/5P2/8 b - - 5 58,b4b3 f4h3,1595,endgame master mate mateIn1 oneMove
7r/7q/1k2p3/2p1PnB1/1pPpQ3/1P1P2r1/R6P/R5K1 w - - 0 34,g1f1 h7h3 f1e1 g3g1,2015,crushing master middlegame short
3k4/8/1N2n3/1P4p1/3p4/1P6/4K3/8 w - - 0 44,b6d5 e6f4 e2f3 f4d5,895,crushing endgame knightEndgame short
r2qk2r/p1bb2pp/2p5/3Pn3/Q3B3/2P2N2/PP3PK1/R1B2R2 w kq - 0 19,d5c6 d7h3 g2g1 e5f3 e4f3 e8g8,2839,castling crushing defensiveMove deflection long middlegame
8/R4R2/6p1/5k1p/p4P2/6K1/2p1q3/8 b - - 2 48,f5e4 f7e7 e4d5 a7d7 d5c6 d7c7 c6b6 e7e2,2162,crushing endgame queenRookEndgame veryLong
2r3k1/5pp1/r4q1p/pNP3n1/P2p4/1P1Q1P2/4R1PP/2R3K1 w - - 0 26,d3d4 g5f3 g2f3 f6g5 g1f2 g5c1,1811,advantage clearance fork long middlegame sacrifice
8/8/2n4R/8/1k1p4/p6P/5PP1/4K3 w - - 2 47,e1d1 a3a2 h6c6 a2a1q,890,advancedPawn crushing endgame promotion short
r4rk1/1p4pp/3p2p1/1Pp2q2/P4n2/R4P2/1P4P1/2BQ1RK1 w - - 2 22,d1d6 f4e2 g1f2 a8d8,2357,crushing master masterVsMaster middlegame short superGM
2rqkb1r/1p3ppp/p1npb3/1N2p3/4P3/3Q4/PPPB1PPP/R3KB1R w KQk - 0 11,b5c3 c6b4 d3g3 b4c2,1347,crushing opening short
6k1/5ppp/p3r3/1p1p4/3P1P1Q/2P2P2/PPK4P/R4q2 b - - 9 31,f1a1 h4d8 e6e8 d8e8,678,endgame mate mateIn2 short
4R1k1/pp3p2/1n1q2p1/3p3p/2rQ3P/P1P3P1/1P3PK1/1B6 b - - 2 31,g8h7 d4h8,457,endgame mate mateIn1 oneMove
6k1/r3N1p1/8/8/3q4/6P1/5RK1/5R2 b - - 2 50,g8h7 f1h1 d4h4 h1h4,1079,anastasiaMate endgame mate mateIn2 short
r2q1rk1/pp1n1p1p/1bp3p1/2n1pNB1/6Q1/3B3P/PPP2PP1/R4RK1 b - - 1 15,f7f6 d3c4 g8h8 g5h6,2279,crushing middlegame short
8/8/8/5N1p/4pP1P/4P3/2nk1K2/8 w - - 1 80,f5g7 c2e3 f2g1 e3f1 g7f5 e4e3,2566,crushing endgame knightEndgame long quietMove
8/6pk/1pQ2p2/p7/P1P3P1/2q1KP2/8/8 w - - 7 47,e3f4 c3e5,1111,endgame mate mateIn1 oneMove queenEndgame
4r1k1/2p2p1p/pbNp1pbB/1p1P4/8/1P5P/1PqQ1PP1/4R1K1 b - - 2 23,e8e4 c6e7 g8h8 e7g6 h7g6 d2c2,2092,advantage kingsideAttack long master masterVsMaster middlegame
8/8/p7/2PRp3/1P3p1k/2P2Kr1/8/8 w - - 1 52,f3e4 g3e3 e4f5 f4f3 d5d2 h4g3 c3c4 e3c3,2946,crushing endgame rookEndgame veryLong
r4rk1/ppp2ppp/8/2bP4/2q3b1/2NQ2P1/4N2P/4R2K w - - 0 21,d3c4 g4f3,1218,doubleBishopMate mate mateIn1 middlegame oneMove
8/p6k/1pp5/3p1Npr/5n2/2PP1PB1/PP1r4/1R2R2K w - - 4 40,h1g1 d2g2 g1f1 h5h1,1512,mate mateIn2 middlegame short
2rr4/1pn2pkp/1q2p1p1/pB2P1N1/Pn6/8/1P2QPPP/2R2RK1 b - - 11 21,c7b5 e2f3 f7f5 e5f6,1825,crushing enPassant middlegame short
8/5p2/6k1/4Pp2/5K2/8/8/8 b - - 5 76,f7f6 e5e6 g6g7 f4f5 g7g8 f5g6 g8f8 g6f6 f8e8 e6e7 e8d7 f6f7,2168,advancedPawn crushing defensiveMove endgame pawnEndgame veryLong zugzwang
3r1r1k/6p1/p6p/1pR2p2/1P6/P1R1P1P1/1q3P1P/3Q2K1 w - - 2 31,d1c1 b2e2 g1g2 d8d1 c1d1 e2d1,2157,advantage endgame long
r1b1r1k1/pp2q1p1/4pbQp/3p1n2/5PN1/1P6/P1PN2PP/4RR1K b - - 3 26,e7f7 g4f6 f7f6 g6e8,1812,advantage kingsideAttack master middlegame pin short skewer
4Q3/5ppk/1p5p/8/3N3P/1P2P1P1/4KP2/rq6 w - - 11 42,e8f7 b1d1,1541,dovetailMate endgame mate mateIn1 oneMove
2rqkbr1/pppbn3/2nBp3/1N3p1p/3Pp1pN/3B1P2/PPP3PP/R2Q1RK1 b - - 1 14,a7a6 d6c7 a6b5 c7d8,1659,advantage middlegame short trappedPiece
2kr1b1r/pp1nq3/2p1pn2/3p4/Q2P1B1p/2PB3p/PP3PP1/RN3RK1 b - - 1 16,h3g2 a4c6 b7c6 d3a6,1141,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short
2k3nr/ppp3pp/2p1p3/6N1/8/2P5/PP3PPP/5RK1 b - - 0 17,c8d7 g5f7 d7e7 f7h8,1778,crushing endgame short trappedPiece
8/1n2bpkp/3q2p1/P7/1PQ5/5NPP/5PK1/8 b - - 0 36,d6b4 c4b4 e7b4 a5a6 b4c5 a6b7,1506,advancedPawn advantage endgame long
2r3k1/5p1p/2P3p1/bP6/2N5/3p1B1P/5PP1/1b4K1 b - - 1 31,c8b8 c4a5 d3d2 c6c7 b8c8 b5b6,1918,advancedPawn crushing endgame hangingPiece long
5rk1/p1p1rPpp/8/8/P2PR3/5Q2/2q3PP/5RK1 b - - 0 23,e7f7 f3f7 f8f7 e4e8 f7f8 f1f8,1156,endgame long mate mateIn3 sacrifice
2r1r1k1/p1q3bp/bp4p1/n7/Q2p3N/P1B3PP/1P3RBK/3R4 b - - 3 26,d4c3 g2d5 g8h8 h4g6 h7g6 a4h4 g7h6 d5f7,2868,clearance crushing kingsideAttack middlegame pin sacrifice veryLong
5rk1/3q1ppp/3Pb3/3n4/r3QB2/2PB4/2P3PP/3R1RK1 b - - 7 25,d5f4 e4h7,846,master mate mateIn1 middlegame oneMove
8/p1R2k1p/1p6/1P1NpNp1/1P1bPp1n/5P2/3r2PP/7K b - - 4 32,f7e8 f5g7 e8f8 g7e6 f8g8 d5f6 g8h8 c7h7,2360,arabianMate endgame exposedKing mate mateIn4 veryLong
2r1rqk1/5p1p/4p1p1/3nP1B1/3P4/6QR/6PP/3R3K w - - 3 31,h3h7 g8h7 g3h3 h7g8,1434,advantage defensiveMove hangingPiece middlegame short
r2qk2r/1b1nbppp/p2p4/3P4/1ppQnP2/4BN1P/PP2B1P1/R2NK1R1 b Qkq - 1 17,e4g3 d4g7 e7f6 g7g3,1218,advantage fork opening short
r2q2k1/p3rp1p/1p3np1/2b5/7P/P2BpP2/1BQP1P2/R3K2R w KQ - 0 21,b2f6 e3f2 e1f1 e7e1,1242,advancedPawn attackingF2F7 crushing doubleCheck middlegame short
2r3rk/p4Q2/4p1pP/3p1p2/bq1P4/2PB2P1/1P3P1R/2K3R1 w - - 2 30,f7e6 c8c3 c1b1 b4d4,2308,crushing middlegame queensideAttack short
8/6p1/7p/1pK1P3/3nkP2/6P1/7P/8 b - - 2 55,d4f3 e5e6 f3h2 e6e7,1380,advancedPawn crushing endgame knightEndgame master masterVsMaster short
5rk1/pp3ppp/8/n7/2B5/qPQ2P2/6PP/5R1K b - - 0 24,f8c8 c4f7 g8f7 c3c8,904,crushing discoveredAttack endgame short
2r4k/2q2B1p/3p2p1/4p1Bn/4P3/1Q3P1P/6PK/8 b - - 2 37,h5f4 g5f6,865,doubleBishopMate endgame mate mateIn1 oneMove
4rk2/5p2/1Pr2p1p/8/8/3K4/3p1PPP/1R1R4 w - - 7 32,d3d2 c6d6 d2c3 e8c8 c3b4 d6b6 b4a5 b6b1 d1b1 c8a8 a5b6 a8b8 b6c5 b8b1,2065,crushing endgame exposedKing interference rookEndgame skewer veryLong
4r3/p4N2/k1p3pp/3b4/1P1R4/P5P1/4rP1P/2R3K1 w - - 1 29,f7d6 e2e1 c1e1 e8e1,460,endgame mate mateIn2 short
1k2r2r/ppp2p2/6n1/3Q4/1q1P2Bp/1P2P2P/PB2KPP1/1R5R w - - 3 25,h1c1 g6f4 e2f1 f4d5,1196,crushing middlegame pin short
5b2/3q1k1p/p2Pb1p1/1pQ1P3/8/5B1P/P4PP1/6K1 b - - 8 33,e6a2 c5c7 a2e6 f3d5 d7c7 d6c7 e6d5 c7c8q,2340,advancedPawn crushing endgame promotion veryLong
r4rk1/ppqbbpp1/1np4p/4p2n/4PP1N/P1N3B1/BPPQ2PP/2KR3R w - - 1 17,f4e5 e7g5 a2f7 f8f7,1674,advantage middlegame pin short
r2r1qk1/1p3R1p/p1np2p1/7N/3Q4/1B6/PPP3PP/3R2K1 b - - 0 23,c6d4 h5f6 g8h8 f7h7,1518,arabianMate kingsideAttack mate mateIn2 middlegame short
rn1q1r1k/pp3pp1/5N1Q/2P1P3/3p2b1/3BnNP1/PPP1K3/2R4R b - - 0 20,g7h6 h1h6 h8g7 h6h7,1156,hookMate kingsideAttack mate mateIn2 middlegame short
8/p7/1p6/8/2k1NP2/3pK2b/PP6/8 b - - 1 47,h3f5 e4d6 c4d5 d6f5,716,crushing endgame fork short
3r1k2/4pP2/6p1/p2r3n/Pp2Q3/1P1P2qb/2P3B1/4RRK1 b - - 2 41,h3g2 e4e7 f8g7 f7f8q,1257,advancedPawn doubleCheck mate mateIn2 middlegame promotion short
6k1/pp4pp/2pp2p1/2P3n1/2P5/3QP1qP/PP1B1rB1/R6K w - - 0 24,a1g1 g5f3 d3d6 g3g2 g1g2 f2f1 g2g1 f1g1,2446,arabianMate exposedKing kingsideAttack mate mateIn4 middlegame sacrifice veryLong
8/3P1ppk/7p/2B1b3/1R6/5P1P/1p2K3/2r5 b - - 0 40,b2b1q b4b1 c1b1 d7d8q,1034,advancedPawn crushing endgame promotion short
8/p7/8/PP2k3/3p1p2/1P3K2/8/8 b - - 0 41,d4d3 b5b6 d3d2 f3e2 f4f3 e2d2,1482,crushing endgame long pawnEndgame
3r1b1r/k1pq1p2/1p1p4/4pP1p/4Q3/R7/PPP4P/R1B3K1 b - - 1 21,a7b8 a3a8,450,mate mateIn1 middlegame oneMove
5rk1/R2Q1ppp/1q4r1/3pP3/1bpP4/2B5/1P3RPP/6K1 b - - 2 29,b4c3 d7f7 f8f7 a7a8 b6d8 a8d8 f7f8 f2f8,1530,mate mateIn4 middlegame sacrifice veryLong
8/p3k3/2b1r3/3p1Q2/5B2/8/5bPP/R6K w - - 11 35,g2g3 d5d4 f5d5 c6d5,1373,discoveredAttack doubleBishopMate endgame mate mateIn2 short
8/4Q3/7p/8/1pB2r2/1P3k2/1KP2p2/4r3 w - - 3 69,c4d5 f3g3 e7g7 f4g4 g7c7 g3h3,2235,crushing defensiveMove endgame long
r1r5/p2kbpp1/4p1bp/3p4/3P4/2P1BP2/PP1N2PP/2KR3R w - - 4 19,g2g4 c8c3 b2c3 e7a3,969,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short
r4n1k/1b4p1/4B2p/3pQ3/1q1N4/8/2P3PP/5RK1 b - - 2 27,b4c5 f1f6 h8h7 e5f5 f8g6 f5g6 h7h8 f6f4,2780,crushing defensiveMove middlegame veryLong
5rk1/2p5/3p2pp/2PPbbq1/1PQNp3/7P/4NPP1/R5K1 w - - 4 26,c5d6 f5h3 g2g3 g5f6 g1h2 h3g4,2844,crushing long middlegame pin
r3k2q/1p3bR1/1P3p2/pQ2pP2/P1P1P3/8/7r/4K1R1 b - - 0 36,e8d8 g7f7 h8h4 e1d1 h4h5 d1c1 h5f7 g1d1 d8e7 d1d7,1918,clearance crushing exposedKing hangingPiece master masterVsMaster middlegame sacrifice superGM veryLong
5B2/2b5/4k3/p3p3/1p1pP1K1/P2P4/2P3P1/8 w - - 0 33,a3b4 a5a4 b4b5 c7d6 f8d6 e6d6,1728,bishopEndgame crushing endgame long quietMove
r1b2rk1/pp3ppp/2pb4/q2n4/2B5/3P1Q2/PPP2PPP/RNB1R1K1 w - - 4 12,c1e3 a5e1,479,hangingPiece kingsideAttack mate mateIn1 oneMove opening
1k6/1p4Np/1rpb1p2/1q1p1Q2/p2P4/P5P1/1PP1rP1P/KR5R w - - 3 24,f5h7 b5c4 g7e8 d6a3 h7c7 b8a7 e8d6 a3d6,2681,advantage middlegame veryLong
r5r1/pp3p1k/3b4/3Q1b2/5N2/2q4P/PP1N2P1/2KR3R w - - 0 24,b2c3 d6a3,825,bodenMate mate mateIn1 middlegame oneMove
5r1k/p5pp/1p6/2p1b3/2Q1P3/1P3PqP/P5P1/2RR2K1 w - - 4 27,c4e6 g3h2 g1f1 e5g3 d1d2 h2h1,2445,clearance crushing endgame long quietMove
3r4/p3qpk1/4p1p1/2prP2P/3P1R2/P3Q3/5PK1/7R b - - 0 46,e7g5 g2f1 f7f5 e5f6 g7f7 e3e4,2497,crushing defensiveMove enPassant endgame long master
8/5pp1/4p3/1p5P/pP2kPP1/2K1P3/8/8 b - - 0 47,e4e3 g4g5 e3f4 h5h6 g7h6 g5h6,1688,crushing endgame long pawnEndgame quietMove
5rk1/p4ppp/4P3/3pP3/1Q4P1/8/q5P1/5R1K b - - 0 26,a2e2 e6f7 f8f7 b4b8 f7f8 b8f8,1555,advancedPawn endgame long mate mateIn3
5k2/8/4BP2/8/1K6/p1P4p/8/8 w - - 0 58,e6h3 a3a2 h3e6 a2a1q,560,advancedPawn bishopEndgame crushing endgame promotion short
r2r2k1/pp3ppp/3Np3/4qb2/8/6P1/P5BP/R2Q1R1K w - - 0 19,d6f5 d8d1 f5e7 g8f8,1079,crushing middlegame short
4q1k1/4Pn1p/p1Rr1Qp1/1p3p2/1P6/P7/6PP/2R3K1 w - - 4 32,f6h4 d6c6 c1c6 e8c6,1467,advantage endgame short
4r1k1/p1P2ppp/1pn5/2b5/2P1Q3/4RNB1/Pq3KPP/5B1R w - - 3 22,f3d2 b2d2 f2f3 c6d4 f3g4 e8e4 e3e4 f7f5 g4h3 d2h6 g3h4 h6c6 e4d4 c5d4,2801,advantage fork hangingPiece middlegame pin veryLong
r7/p2k1p1p/1p2p3/1P2n3/R7/2N5/1r1P1P1P/3K2R1 b - - 1 26,e5d3 a4d4 d7e7 d4d3,970,crushing endgame fork master short
rn2k2r/pp2bp2/2pp1n2/4p3/4P1N1/3P1BPq/PPP1QP2/R1B2RK1 w kq - 5 17,f3g2 h3g4 e2g4 f6g4,1613,advantage opening short
1r5r/Q1B1k1bp/3pq1p1/1P6/4P3/8/1PP2PPP/5RK1 b - - 0 23,b8a8 c7d6 e7d6 f1d1 g7d4 d1d4 d6e5 a7g7,2629,attraction crushing doubleCheck middlegame sacrifice veryLong
1n1k4/8/1K1PP3/8/8/8/8/8 b - - 10 61,d8c8 e6e7 c8d7 b6b7 d7d6 e7e8q,2084,advancedPawn crushing endgame knightEndgame long promotion
r6k/4PQpp/5p2/r1p5/P2B4/2P5/4q1PP/R5K1 b - - 2 27,c5d4 f7f8 a8f8 e7f8q,1221,advancedPawn endgame mate mateIn2 promotion short
r3k2r/5pp1/p3b2p/2n1q3/1Q6/3B1P2/PP2N1PP/1K1R3R w kq - 1 22,d3c4 a8b8 b4c3 e5c3 e2c3 e6c4,1905,advantage capturingDefender long middlegame pin
r1b1r1k1/pp2np1B/1q2p3/2npP1B1/2p3P1/2P1P2P/PP3P2/RQ3RK1 b - - 2 18,g8f8 g5h6,844,doubleBishopMate mate mateIn1 middlegame oneMove
6k1/1B4pp/8/3p4/8/P7/1q2QK2/8 b - - 3 48,b2b7 e2e8,399,endgame mate mateIn1 oneMove queenEndgame
8/8/8/1p1kNp1p/5P2/pKP5/n5PP/8 b - - 1 46,a2c3 b3c3 b5b4 c3b3,1642,crushing endgame hangingPiece knightEndgame short
8/2P5/p2n3p/1q1p4/1Pk3Q1/7P/5PP1/6K1 b - - 2 46,c4b3 g4g3 b3a2 g3d6,1695,crushing endgame fork short
8/8/p2k3p/Pp1P2p1/2p1K1P1/2P2P2/8/8 b - - 1 48,d6c5 e4e5 b5b4 d5d6 c5c6 e5e6,2234,crushing defensiveMove endgame long master masterVsMaster pawnEndgame
r2q1b1r/pp1npkpp/8/1bpp4/8/1P1PPQ2/PBP2PPP/RN2K2R b KQ - 1 10,f7g8 f3d5 e7e6 d5e6,1062,kingsideAttack mate mateIn2 opening short
7k/pp5P/2pN2p1/8/8/2P2b2/PP2p3/4K3 b - - 2 36,c6c5 d6f7 h8h7 f7g5 h7h6 g5f3,792,advantage endgame exposedKing fork long
8/PQ3pbk/5np1/r7/8/6pq/3R3P/4R1K1 b - - 1 39,g3h2 d2h2 a5g5 g1h1,1481,crushing defensiveMove middlegame pin short
r4r1k/1R5p/1Q3p2/3p1p2/8/1NP2P2/PPK2P2/7q b - - 4 29,h1f3 b6c7 f8f7 c7f7,1814,crushing endgame short
6k1/R5pp/4p3/5P2/3p4/3q4/P5KP/2R5 b - - 0 28,d3e3 c1c8,897,endgame master mate mateIn1 oneMove queenRookEndgame
5Q2/2p1n1pk/p2p3p/P3p3/1P2P1q1/2P1P1n1/6RR/6K1 w - - 5 31,f8f2 g4d1 f2e1 d1e1,1114,endgame mate mateIn2 short
r2k3r/pp1n1Q2/2pBp2p/2P1P1p1/2Pq4/3n1B2/P5PP/R4R1K w - - 2 24,f7e6 d3f2 f1f2 d4a1 f3d1 a1d1 f2f1 d1f1,1991,deflection kingsideAttack mate mateIn4 middlegame veryLong
4kb1N/ppprp1pp/4n3/8/5Bnq/2NQ4/PPP3PP/R4RK1 w - - 1 18,c3d5 e6f4 f1f4 h4h2 g1f1 h2h1 f1e2 h1g2 e2e1 d7d5,2455,crushing deflection kingsideAttack middlegame veryLong
4k3/3p1pb1/p3pq2/5p2/4bPpP/1Nr3P1/PP1Q4/K3R3 w - - 0 30,b2c3 f6c3 d2c3 g7c3,866,doubleBishopMate endgame mate mateIn2 short
rnb1r1k1/p4ppp/2p5/8/2B2B2/5K2/P1P3PP/R6R b - - 0 17,c6c5 c4d5 c8d7 d5a8,1661,advantage middlegame short trappedPiece
3r2k1/2Q1pp1p/2p3p1/8/6b1/P3P1N1/1B1r1P2/R3K3 w Q - 0 20,b2c3 d2d1 a1d1 d8d1,843,mate mateIn2 middlegame short
2r5/pp2k1p1/7p/3pp3/5n2/1B3PBb/Pr5P/1N1R1R1K w - - 2 27,f1e1 h3g2 h1g1 f4h3,1361,kingsideAttack mate mateIn2 middlegame short
4rrk1/1p4bp/p1n1p1p1/q1Np4/3P1P2/4B1P1/PP5P/R2QR1K1 w - - 3 20,e3d2 g7d4 g1h1 a5c5,1473,crushing fork middlegame short
6k1/5p2/4p1pp/4Bb2/5P2/R1P2PK1/p1r4P/8 b - - 1 42,h6h5 a3a8 g8h7 a8h8,892,endgame mate mateIn2 short
8/ppk1bQ2/3p1p2/1P1Pp3/r5PP/1q6/4R3/1K1R4 w - - 0 29,e2b2 b3d1,1117,endgame hangingPiece mate mateIn1 oneMove
3r3r/4qpk1/p1np2p1/1p1R4/2p1P1N1/P1P2PP1/1P1Q3P/3R2K1 w - - 1 34,d5d6 d8d6 d2d6 h8d8 d6d8 c6d8,2051,advantage long middlegame
2r5/pp2k1pp/5p2/1B2p3/4P3/4B3/Pp3PPP/1N3rK1 w - - 0 24,g1f1 c8c1 f1e2 c1b1,658,advantage endgame short
b7/5p2/P3p1k1/1B5p/3P1p2/8/5K2/8 b - - 0 50,g6f6 b5e2 e6e5 d4e5 f6e5 e2f3 e5d6 f3a8,2410,bishopEndgame crushing endgame veryLong
7k/2p3rp/p2p1p1Q/1p2pP2/4P3/2R5/qPP3PP/6K1 w - - 0 27,c3c7 g7c7 h6f8 a2g8 f8f6 c7g7,2130,advantage endgame hangingPiece long
r2qk2r/1pp2pp1/p3p2p/3pP3/5bb1/2PBP3/PPQN1P1K/R5R1 w kq - 0 17,e3f4 d8h4 h2g2 h4h3,755,mate mateIn2 middlegame short
1q3Bk1/6p1/ppp3Rp/3b4/5P1P/4r1PB/PP5K/3Q4 w - - 1 34,f8a3 b8e8 h3e6 e3e6,2358,advantage middlegame short
1r4k1/pP1b1pbp/6p1/N3p3/4P3/3r4/PP3PPP/2RR2K1 b - - 4 23,d3d4 d1d4 e5d4 c1c7 d7e6 a5c6,1732,advantage long middlegame
2r3r1/1p6/p1ppk3/4p2p/P1R1P3/2P2PP1/1P3K1P/3R4 w - - 0 31,b2b4 b7b5 c4d4 e5d4,1800,advantage endgame rookEndgame short trappedPiece
7r/3Q1k2/8/p4r1P/1P3q2/P5RK/8/8 b - - 8 54,f7f6 g3g6 f6e5 g6e6,1915,endgame mate mateIn2 short
8/2B5/3p4/1p2b3/2p1Pp1k/P1P2K2/1P6/8 w - - 7 54,c7d6 e5d6 e4e5 d6e5,769,bishopEndgame crushing endgame hangingPiece master short
8/8/3p4/3Pk3/1Pp1P3/5ppn/R1B5/5K2 w - - 4 46,c2a4 e5e4 b4b5 g3g2 a2g2 f3g2 f1g2 h3f4 g2g3 f4d5,2724,advancedPawn attraction crushing endgame exposedKing veryLong
6k1/p7/1p4p1/4R1N1/P7/1P1p1P2/2r3PP/6K1 w - - 0 35,e5e1 d3d2 e1e8 g8g7 e8d8 c2c1,1078,advancedPawn advantage endgame long
6k1/2p1Pp1p/pp4p1/8/3r1P2/PqnP3B/6QP/7K b - - 0 32,b3b5 g2a8 g8g7 a8f8 g7f6 e7e8n b5e8 f8e8,2345,advancedPawn crushing endgame promotion underPromotion veryLong
r4r1k/p3Nppp/4b3/q1p1R3/1p3P2/1P1Q2P1/P1P4P/1K1R4 b - - 0 26,a8d8 d3h7 h8h7 e5h5,1568,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short
8/8/4p3/4k1p1/r5P1/4KP2/P2R4/8 w - - 4 40,d2h2 a4a3 e3f2 a3a2 f2g3 a2h2,1147,crushing endgame interference long rookEndgame
r4rk1/p2q2pp/1pp1pb2/2Q1B3/3p4/3P4/PPP2PPP/R3R1K1 w - - 0 17,c5d4 d7d4 e5d4 f6d4,854,advantage middlegame short xRayAttack
5qk1/3b4/7p/1p1p3B/3PpQp1/4P1P1/6KP/8 w - - 5 37,h5g4 f8f4 g3f4 d7g4,1283,capturingDefender crushing endgame intermezzo short
8/8/1Q3p2/2p2Pk1/6n1/2r5/P5K1/8 w - - 0 46,b6b2 c3c2 b2c2 g4e3 g2g1 e3c2,1556,attraction crushing endgame exposedKing fork long sacrifice
8/8/2k3p1/3p3p/pK1P1P1P/6P1/8/8 b - - 1 48,a4a3 b4a3 c6b7 a3b3,2214,crushing defensiveMove endgame pawnEndgame short zugzwang
rnbq2k1/p5pp/2p1p3/1pPp2r1/3Pp3/PB2P1Q1/1P3PPP/R1B2RK1 w - - 3 17,g3h4 g5g2 g1g2 d8h4,659,crushing discoveredAttack kingsideAttack middlegame short
4rb1r/pp5p/2k1qp2/3p4/2PQN3/8/PP3PPP/R3R1K1 w - - 1 18,e4f6 e6e1 a1e1 e8e1,603,backRankMate mate mateIn2 middlegame short
3rr1k1/1p1b1Rb1/p6p/4q1N1/P1npN2Q/7P/2P3P1/5R1K b - - 0 25,h6g5 e4g5 d7f5 f7f5 e5f5 f1f5,1946,crushing long middlegame
r3k2r/ppp1bppp/2n5/3q1bNQ/2PpR3/8/P1P2PPP/RNB3K1 b kq - 0 11,d5c5 h5f7,733,advantage attackingF2F7 middlegame oneMove
